Datum;
2021-11-04;
21383;
279101225142;6,00
276071229096;8,00
275062824360;13,00
274080142541;47,00
269110489441;52,00
123444182968;200,00
123444184204;250,00
275022391138;253,00
123444183602;253,00
123444181697;300,00
276091524286;355,00
273103130400;355,00
288042412628;406,00
123444184535;500,00
123444184527;500,00
123444184592;500,00
123444182216;550,00
123444184618;550,00
123444183891;600,00
123444184410;600,00
123444184477;650,00
123444184600;700,00
123444184543;750,00
123444183073;800,00
277081855656;849,00
123444184402;900,00
123444182950;900,00
123444184428;1 050,00
123444184451;1 800,00
123444184444;1 800,00
268060566612;1 876,00
280121914475;2 356,00
272070756791;2 600,00
123444180699;3 200,00
123444180681;3 200,00
267072863041;3 400,00
288103086741;6 000,00
123444180673;7 100,00
274020975885;10 494,00
