Datum;
2021-10-15;
21355;
123444175269;150,00
123444174940;250,00
123444176457;300,00
123444175004;350,00
123444176911;400,00
123444178370;400,00
123444175293;500,00
123444174213;600,00
123444174924;700,00
123444177794;700,00
123444174692;1 000,00
123444174742;1 600,00
123444178453;1 800,00
123444178495;1 800,00
123444178511;2 000,00
123444178206;2 000,00
123444178396;2 000,00
123444174791;2 100,00
123444178446;2 230,00
123444178412;2 230,00
123444177968;2 750,00
123444175699;3 000,00
123444175103;3 200,00
123444178420;3 200,00
123444175533;3 200,00
123444178503;4 260,00
280051512448;5 331,00
123444178438;6 550,00
123444178388;7 100,00
123444178347;7 100,00
123444175129;9 850,00
123444174437;13 830,00
123444178115;15 800,00
123444176291;24 100,00
