Datum;
2021-02-05;
40;
264012170389;5,00
271031331215;13,00
269050439752;20,00
266051347117;41,00
269011588077;102,00
274050242768;637,00
277102744103;637,00
281042947230;1 000,00
275031865130;1 500,00
275072465808;2 295,00
268022950821;4 000,00
123444148670;4 950,00
123444148233;5 040,00
123444148308;5 040,00
123444147748;5 395,00
279072513344;7 296,00
123444147649;7 300,00
123444147664;7 300,00
281102067028;7 322,00
123444148712;8 800,00
261032294280;9 000,00
123444148720;9 450,00
