Datum;
2022-06-10;
22205;
273012313014;8,00
123444223572;290,00
123444224539;350,00
123444223499;350,00
123444224612;405,00
123444224448;450,00
123444224448;450,00
123444224208;450,00
123444223390;450,00
269112227815;550,00
123444223184;900,00
123444224463;920,00
123444223291;920,00
123444223374;920,00
123444222905;920,00
123444224521;920,00
123444222178;1 000,00
123444222087;1 725,00
123444219000;1 725,00
123444218994;1 725,00
123444224380;2 700,00
123444220404;4 725,00
