Datum;
2022-05-30;
22189;
277042927149;15,00
274083030578;36,00
123444221790;120,00
123444220628;120,00
123444220909;120,00
123444221998;120,00
123444221857;120,00
123444220222;210,00
123444218820;225,00
123444218861;225,00
123444217830;250,00
123444221691;250,00
123444219737;280,00
123444219695;280,00
123444222004;280,00
123444217665;300,00
123444221535;350,00
266033119568;400,00
123444219968;450,00
123444218424;470,00
123444220883;500,00
123444221782;500,00
271101242896;500,00
123444220982;530,00
277012786350;540,00
123444214902;570,00
123444219828;580,00
123444221980;600,00
123444214126;695,00
123444219166;695,00
123444215461;700,00
123444221634;700,00
296101157885;800,00
280061140636;800,00
123444219372;870,00
123444221303;950,00
123444221956;950,00
123444221212;950,00
123444217715;980,00
123444216824;1 190,00
279123013831;1 500,00
123444221816;1 725,00
123444218622;1 725,00
123444218150;1 725,00
123444221865;1 725,00
123444217673;1 725,00
123444220719;1 725,00
123444218291;1 725,00
123444217921;1 725,00
123444218093;1 725,00
123444218200;2 000,00
123444214522;2 000,00
123444217749;2 000,00
123464220375;2 200,00
123444218903;2 200,00
123444220784;2 400,00
123444222038;2 400,00
123444221881;2 400,00
123444221964;2 400,00
123444217855;2 425,00
123444218242;2 425,00
123444218119;2 425,00
123444218523;2 425,00
275082990704;2 500,00
123444218309;3 000,00
123444216071;3 800,00
123444216089;3 800,00
274072532733;5 107,00
123444220636;8 000,00
123444221683;8 200,00
267072863041;11 219,00
