Datum;
2021-12-06;
21427;
266100396354;49,00
273092646127;190,00
276091524286;253,00
290021381790;253,00
282033113329;253,00
294052382719;470,00
123444188270;475,00
123444189468;500,00
299011450374;507,00
287062927101;521,00
292062273134;636,00
123444190821;651,00
202100448390;796,00
123444190185;800,00
273102369785;817,00
274012324142;824,00
123444174221;873,00
123444190722;900,00
123444193684;1 000,00
123444189286;1 000,00
123444190102;1 000,00
267100454466;1 093,00
123444193460;1 100,00
123444193759;1 100,00
123444193858;1 100,00
123444193601;1 100,00
123444190136;1 200,00
123444191035;1 400,00
275110612999;1 408,00
276110739600;1 424,00
274012779980;1 515,00
274012416765;1 559,00
270051152667;1 600,00
123444188874;1 675,00
275111841365;1 966,00
276071062281;2 000,00
270061014436;2 106,00
278110334614;2 129,00
123444193650;2 230,00
123444191118;2 400,00
123444192488;2 500,00
277091390306;3 166,00
279050125764;3 715,00
284011081031;3 736,00
272091410469;3 737,00
123444188759;4 400,00
123444192454;4 500,00
280042972818;5 659,00
123444190904;6 000,00
