Datum;
2021-01-04;
2;
265030413966;1,00
274031821110;2,00
268071580123;4,00
278102423151;7,00
279050120229;18,00
274050357103;38,00
280022534240;73,00
276051230783;90,00
272011165334;162,00
282013064922;507,00
123444145015;600,00
123444145494;600,00
123444145577;600,00
123444144547;703,00
123444144786;750,00
123444144711;1 000,00
123444145155;1 080,00
123444145643;1 100,00
123444145551;1 100,00
123444143333;1 408,00
123444145502;1 620,00
275100964848;2 346,00
123444144851;5 000,00
123444143655;7 000,00
277041453667;7 150,00
123444144919;7 300,00
123444145544;7 360,00
123444144810;7 360,00
123444145585;7 360,00
123444144828;7 600,00
273103135805;8 198,00
123444144943;9 900,00
123444144760;9 900,00
123444144117;9 900,00
123444145452;9 900,00
123444144257;10 350,00
123444144281;10 350,00
123444142723;10 350,00
123444143879;17 070,00
