Datum;
2021-09-27;
21327;
267011596801;7,00
123444172654;250,00
123444172878;250,00
123444172902;250,00
123444172753;300,00
123444172670;300,00
123444172688;350,00
123444171672;350,00
123444171946;350,00
123444173041;350,00
123444171862;350,00
123444170674;360,00
123444173017;450,00
123444170294;460,00
123444170856;460,00
123444172357;500,00
123444172746;500,00
123444173298;500,00
123444172043;600,00
123444173132;600,00
123444173348;600,00
123444173280;600,00
123444172340;600,00
123444172969;600,00
123444173264;600,00
123444172365;650,00
123444172290;650,00
123444172647;700,00
123444172282;750,00
275112858434;839,00
123444172118;850,00
123444147060;881,00
123444173157;900,00
123444172399;950,00
123444172605;950,00
123444172852;1 050,00
123444170229;1 200,00
123444170310;1 200,00
269080467559;1 600,00
123444169387;1 800,00
123444170096;2 000,00
123444169627;2 000,00
123444170286;2 000,00
123444172779;2 100,00
123444172761;2 100,00
123444171896;2 100,00
123444171508;2 160,00
269112190211;2 180,00
123444170427;2 200,00
123444172621;2 270,00
123444171482;2 270,00
123444172787;2 270,00
281052674112;2 370,00
123444170518;2 520,00
123444170336;2 700,00
123444171433;2 750,00
123444171425;3 300,00
123444172837;3 740,00
123444173306;3 740,00
123444172639;3 800,00
123444172498;3 800,00
284111231908;4 443,00
123444170609;4 620,00
123444170450;4 620,00
123444170757;4 620,00
123444172258;4 620,00
123444171128;4 900,00
123444171052;4 900,00
123444172951;5 900,00
123444170344;6 500,00
123444172811;6 800,00
123444173231;7 100,00
123444173058;9 000,00
123444172795;10 310,00
123444173355;12 000,00
123444170104;12 580,00
