Datum;
2022-05-02;
22151;
279082476045;129,00
123444211841;200,00
123444212179;200,00
123444210744;200,00
123444209498;230,00
123444212047;250,00
123444209084;260,00
123444208557;280,00
123444212120;280,00
123444210488;350,00
123444212070;390,00
123444212211;450,00
280081689588;500,00
123444211551;500,00
123444212187;500,00
123444210298;530,00
123444210728;530,00
285062240517;550,00
123444210629;600,00
123444212138;620,00
123444211957;620,00
123444212104;650,00
123444209738;660,00
123444211981;670,00
123444212054;700,00
123444209845;850,00
123444212237;850,00
123444209811;975,00
123444209415;975,00
279030811483;1 050,00
123444209985;1 480,00
123444212260;9 300,00
123444210983;9 300,00
123444209209;13 600,00
