Datum;
2022-03-28;
22106;
123444206577;250,00
123444206817;250,00
283010187013;303,00
123444204101;393,00
287120438695;400,00
269080365621;446,00
123444206254;500,00
123444206643;500,00
123444206775;500,00
279082476045;505,00
275111841365;506,00
272072144129;551,00
259120396918;742,00
123444204705;875,00
282033089776;881,00
278050366717;911,00
288092998757;999,00
123444204275;1 000,00
294032371170;1 196,00
123444205934;1 500,00
123444204556;1 500,00
123444203434;1 500,00
271101098058;1 600,00
269072397012;1 614,00
286041041117;1 638,00
271102960397;2 000,00
123444198279;2 000,00
291122681310;2 000,00
123444206650;2 000,00
123444205322;2 260,00
123444205959;2 440,00
273031627931;3 000,00
274071719992;3 000,00
123444205553;3 025,00
123444205710;3 025,00
123444202253;3 025,00
123444205579;3 800,00
123444206882;3 800,00
123444205736;3 800,00
123444205546;3 800,00
123444205496;5 775,00
123444204341;8 300,00
123444206445;8 300,00
123444205520;8 300,00
