Datum;
2022-05-05;
22157;
274052365039;8,00
281021367673;9,00
284110728698;14,00
281111494395;19,00
270121589963;56,00
276101655377;65,00
123444213813;100,00
123444213870;160,00
267060934861;249,00
123444213680;250,00
123444213730;300,00
123444213276;320,00
123444213334;320,00
123444212609;320,00
123444213052;330,00
123444213789;330,00
123444213862;330,00
123444212302;330,00
123444213474;330,00
123444213714;380,00
123444212435;380,00
123444210777;430,00
123444213219;450,00
278030857751;514,00
123444209159;540,00
123444213482;640,00
123444213631;660,00
123444212971;680,00
123444213904;750,00
280092378957;1 000,00
123444213698;1 460,00
272110843989;1 500,00
272110843989;1 804,00
270110780557;1 848,00
277022318202;2 619,00
123444204085;3 200,00
282100466600;15 192,00
