Datum;
2021-11-02;
21379;
123444182117;150,00
123444182513;250,00
123444182794;250,00
123444182687;250,00
123444183750;250,00
123444183818;250,00
123444184279;250,00
123444182695;350,00
123444183859;350,00
123444183628;350,00
123444184261;350,00
123444183594;500,00
123444182349;500,00
123444183214;500,00
123444184105;500,00
123444183347;500,00
123444183354;500,00
123444183370;500,00
123444183206;550,00
123444182232;600,00
123444184113;650,00
123444183974;700,00
123444183339;700,00
123444182901;700,00
123444183883;800,00
123444183362;850,00
123444182307;850,00
123444182802;900,00
123444182885;950,00
123444178669;1 000,00
123444182893;1 000,00
123444183453;1 150,00
123444183990;1 800,00
123444180806;1 800,00
123444181671;2 070,00
123444180350;2 130,00
123444180160;2 230,00
123444176127;3 200,00
123444182984;3 300,00
123444171524;3 300,00
123444171532;3 800,00
123444171532;4 200,00
