Datum;
2021-09-24;
21325;
123444172449;270,00
123444171722;300,00
123444172175;350,00
123444171904;350,00
123444172563;350,00
123444172522;350,00
123444172266;500,00
123444172415;500,00
123444172308;500,00
123444172225;550,00
123444172159;550,00
123444172209;550,00
123444171870;600,00
123444172142;600,00
123444170047;600,00
123444172514;600,00
123444172316;650,00
123444172332;700,00
123444172548;800,00
275112858434;839,00
123444171979;900,00
267083037262;1 000,00
279091814202;1 140,00
123444170179;1 200,00
264012090348;1 747,00
123444171540;1 900,00
123444169973;2 000,00
123444172506;2 000,00
123444170187;2 000,00
123444172274;2 100,00
123444169163;2 320,00
123444169460;2 700,00
123444172134;2 750,00
123444172068;4 540,00
123444166631;4 550,00
123444171409;4 620,00
123444169965;6 900,00
270061666813;7 000,00
123444172407;7 840,00
