Datum;
2022-05-18;
22175;
123444218465;225,00
123444218358;225,00
123444218812;225,00
123444213102;280,00
123444218432;300,00
123444218499;350,00
123444211346;400,00
123444217640;420,00
123444217962;440,00
123444213847;450,00
123444214357;470,00
123444214886;470,00
123444218747;500,00
123444218531;525,00
123444214456;570,00
123444217145;600,00
123444213565;640,00
123444213094;660,00
271012795156;695,00
123444217814;1 000,00
123444215776;1 310,00
123444218325;1 360,00
123444216121;1 415,00
123444218382;1 725,00
123444216907;1 725,00
123444216253;2 000,00
278101844654;3 187,00
123444216394;5 175,00
123444213235;5 500,00
