Datum;
2020-10-30;
309;
123444139281;180,00
123444134399;300,00
123444138697;540,00
123444139273;540,00
123444137707;540,00
123444138259;540,00
123444138994;790,00
123444139059;900,00
123444138507;900,00
123444137814;1 080,00
123444137780;1 080,00
123444137954;1 200,00
268022950821;1 500,00
123444135636;1 850,00
123444137681;2 200,00
123444137947;2 200,00
123444137673;2 200,00
123444137889;2 200,00
123444138416;2 200,00
123444137905;2 200,00
123444139299;2 200,00
123444136725;2 300,00
123444137848;2 850,00
123444135719;2 850,00
123444135545;2 850,00
123444135743;2 850,00
123444135859;3 050,00
123444139232;3 360,00
123444138093;7 395,00
123444137749;13 388,00
