Datum;
2022-04-29;
22149;
123444208979;200,00
123444209571;230,00
123444206619;250,00
123444210397;280,00
123444209563;360,00
123444210249;400,00
123444210637;400,00
123444211940;450,00
123444209936;450,00
123444211528;450,00
123444209050;500,00
123444211577;530,00
123444211858;530,00
123444209373;540,00
123444210108;580,00
123444211833;580,00
123444211288;600,00
274060490068;613,00
123444211916;620,00
123444211932;690,00
123444211908;690,00
123444211502;700,00
123444210330;860,00
123444207880;1 000,00
123444211874;1 000,00
279123013831;1 500,00
123444209977;1 640,00
123444207617;1 900,00
123444209100;2 000,00
123444207674;8 300,00
