Datum;
2022-04-25;
22141;
276101768485;9,00
123444209308;130,00
123444209290;130,00
123444209530;200,00
123444209597;200,00
123444209472;200,00
123444210462;200,00
123444210215;200,00
123444210512;200,00
123444210561;200,00
123444209696;200,00
123444210413;200,00
123444210181;200,00
123444210843;200,00
123444209613;230,00
123444209704;230,00
123444209506;230,00
123444209480;230,00
123444210603;250,00
123444210355;250,00
123444210264;250,00
123444209381;260,00
123444209951;280,00
123444210868;290,00
123444209910;300,00
123444208789;330,00
123444208698;330,00
123444209449;360,00
123444209464;390,00
123444210348;400,00
123444209746;430,00
123444209902;450,00
123444210256;450,00
123444210017;450,00
123444210066;450,00
123444210116;450,00
123444210272;450,00
123444210702;450,00
123444209662;460,00
123444210751;480,00
123444210645;500,00
123444209894;500,00
123444210157;530,00
123444210223;530,00
123444210314;560,00
274031286900;571,00
123444210579;580,00
123444209605;590,00
123444209548;620,00
123444209803;620,00
123444209779;650,00
123444209555;660,00
123444210371;660,00
123444209589;670,00
123444210611;730,00
123444210595;740,00
123444209795;880,00
123444209969;900,00
123444209688;900,00
123444209928;900,00
123444210785;950,00
123444209423;960,00
123444209399;975,00
123444209407;975,00
123444209860;1 000,00
123444208011;1 000,00
123444209712;1 100,00
123444210686;1 280,00
123444210801;1 400,00
123444208672;1 500,00
123444208292;2 000,00
123444208375;2 000,00
123444208383;2 000,00
123444208342;2 000,00
123444208359;2 000,00
280102061478;2 195,00
