Datum;
2021-11-11;
21393;
123444186936;100,00
123444182927;150,00
123444186704;150,00
123444187405;150,00
123444183289;250,00
123444187025;250,00
123444187058;250,00
123444187173;250,00
123444186548;300,00
123444187090;350,00
123444184469;350,00
123444182745;400,00
123444185391;400,00
123444187355;450,00
123444184998;500,00
123444184014;500,00
123444182935;550,00
123444187041;550,00
123444184337;600,00
123444183479;600,00
123444183495;600,00
123444184055;650,00
123444184022;650,00
123444186118;700,00
123444187074;800,00
123444183222;900,00
123444184030;1 050,00
123444187447;1 175,00
123444187322;1 300,00
266081676659;1 624,00
123444184782;1 925,00
123444187330;2 050,00
123444185631;2 550,00
123444185037;2 650,00
123444187223;2 700,00
123444185243;2 850,00
123444185938;3 000,00
