Datum;
2021-12-29;
21459;
123444194641;300,00
283031118765;300,00
278072362736;465,00
123444190318;500,00
123444195234;790,00
123444190375;800,00
286102870081;1 014,00
267011596801;1 047,00
123444195978;1 100,00
123444195960;1 400,00
269091452327;1 600,00
123444195945;2 000,00
284060658846;2 313,00
272011599813;2 500,00
123444195374;2 654,00
123444195275;2 654,00
123444197388;5 800,00
123444197362;6 500,00
123444196489;7 150,00
123444196323;7 800,00
123444195630;10 580,00
123444195028;10 580,00
123444195341;14 950,00
123444196539;15 600,00
276012059222;31 279,00
