Datum;
2022-04-26;
22143;
280052093166;53,00
123444209993;130,00
123444211031;200,00
123444211296;200,00
123444210074;200,00
123444210280;200,00
123444210140;200,00
123444211122;200,00
123444210660;200,00
123444209829;230,00
123444210199;250,00
123444210678;250,00
123444210652;250,00
123444210231;250,00
123444211312;250,00
123444208748;260,00
123444209944;300,00
123444211155;300,00
123444208508;350,00
123444209753;390,00
123444211205;400,00
123444210041;400,00
123444210363;400,00
123444209522;430,00
123444211239;450,00
123444211049;450,00
123444211213;450,00
123444211270;450,00
123444211007;450,00
123444210421;450,00
123444211221;450,00
123444210694;450,00
123444210520;480,00
123444211171;500,00
123444210884;500,00
123444210835;500,00
123444211106;530,00
123444210934;530,00
123444208706;540,00
123444208656;540,00
123444211080;580,00
123444210504;650,00
123444209431;650,00
123444209456;780,00
280061140636;800,00
282033089776;881,00
296101157885;900,00
123444211304;950,00
123444210439;950,00
273031627931;1 000,00
291122681310;1 000,00
123444210769;1 050,00
281111494395;1 452,00
288092998757;1 558,00
123444207856;1 900,00
123444208326;1 950,00
123444207070;1 950,00
123444211064;1 990,00
123444208409;2 000,00
276020811523;2 000,00
123444209068;2 000,00
278062063492;2 000,00
123444208649;2 000,00
271102960397;2 500,00
274083030578;2 821,00
273061559947;3 800,00
123444208458;7 700,00
123444209019;8 000,00
