Datum;
2020-10-26;
302;
123444138291;540,00
123444138374;540,00
123444137533;540,00
123444138622;790,00
123444128227;800,00
123444136782;1 000,00
290051813662;1 000,00
123444138010;1 080,00
272030585850;1 250,00
123444137129;1 600,00
275050490174;2 000,00
123444136832;2 425,00
123444136899;2 425,00
123444138408;2 425,00
123444137376;2 425,00
123444134878;3 050,00
123444138556;3 400,00
123444136188;3 450,00
123444138499;3 450,00
123444137285;4 393,00
123444137459;4 410,00
123444137509;4 480,00
123444136196;4 800,00
123444137194;6 000,00
123444136451;6 400,00
295100799143;7 281,00
123444136972;7 920,00
123444136998;8 640,00
