Datum;
2021-11-01;
21377;
123444182943;100,00
123444181952;110,00
123444182042;150,00
123444182067;150,00
123444182059;150,00
123444183560;150,00
123444178917;150,00
123444173157;200,00
123444183461;225,00
123444182703;250,00
123444182778;250,00
123444183313;250,00
123444182166;250,00
123444183834;250,00
123444178925;260,00
123444181184;300,00
123444181994;300,00
123444179873;300,00
123444183537;300,00
123444183438;300,00
123444182653;350,00
123444182414;350,00
123444183867;350,00
123444180871;380,00
123444183321;400,00
123444182026;423,00
123444183305;450,00
123444183172;450,00
123444183503;450,00
123444183008;450,00
123444183065;450,00
123444182463;450,00
123444179055;470,00
123444183255;500,00
123444183057;500,00
123444173314;540,00
123444182992;550,00
123444182869;550,00
123444182422;550,00
123444182448;550,00
123444182331;550,00
123444182877;600,00
123444182679;600,00
123444182661;600,00
123444182786;630,00
123444183297;650,00
123444182406;650,00
123444182752;700,00
123444182620;700,00
277031966199;700,00
123444182208;750,00
123444182190;750,00
123444183560;750,00
123444182455;800,00
123444181457;800,00
123444183016;900,00
123444182828;900,00
123444182299;900,00
123444183826;900,00
123444182596;950,00
123444182398;1 000,00
123444183248;1 000,00
123444182737;1 000,00
123444182364;1 000,00
123444182257;1 000,00
123444182729;1 050,00
123444183131;1 050,00
123444182844;1 050,00
123444182810;1 100,00
123444178362;1 100,00
123444182612;1 150,00
123444182711;1 200,00
123444183487;1 500,00
123444182646;1 540,00
123444179428;1 600,00
123444181655;1 670,00
123444177596;2 200,00
123444181192;2 230,00
123444182000;2 230,00
123444181879;2 230,00
123444179881;2 230,00
123444179980;3 000,00
123444183180;3 300,00
123444182570;3 800,00
123444179790;3 800,00
123444178792;5 200,00
123444178230;6 050,00
123444181986;14 500,00
