Datum;
2021-01-11;
9;
271041290328;9,00
123444146393;600,00
123444145478;600,00
123444145395;600,00
123444146328;600,00
123444145916;600,00
123444146377;600,00
123444146278;1 100,00
123444145338;1 100,00
291050166649;3 500,00
123444144844;3 718,00
285091665049;4 000,00
123444146260;5 290,00
123444146294;5 290,00
123444146187;7 040,00
123444146179;7 040,00
123444145239;7 040,00
123444144794;7 040,00
123444145858;7 300,00
123444146245;7 360,00
123444145759;8 000,00
123444145742;8 000,00
269052453751;8 410,00
123444145635;8 900,00
123444146302;13 898,00
123444144554;14 080,00
274082927345;18 095,00
