Datum;
2022-03-08;
2283;
249042415136;24,00
277091390306;202,00
266012025422;224,00
123444200364;400,00
273061559947;500,00
272061423278;636,00
269122976211;636,00
273061559947;1 000,00
284020343075;1 085,00
281042947230;1 180,00
123444201891;1 500,00
123444203616;1 500,00
123444204853;1 500,00
123444202915;1 800,00
274100585190;2 358,00
280092378957;2 500,00
123444203277;2 625,00
275092535325;2 669,00
280042216810;2 678,00
275082990704;3 000,00
123444202899;3 025,00
123444204317;3 800,00
123444204606;3 800,00
123444204713;3 800,00
123444204242;5 700,00
271080383224;5 746,00
123444202352;5 775,00
123444202980;7 000,00
285102743413;10 206,00
