Datum;
2021-08-16;
21273;
273061559947;1 000,00
270011938205;1 700,00
123444164487;2 600,00
123444164818;2 600,00
123444166409;3 055,00
274032496813;3 403,00
274032496813;3 666,00
123444166466;4 225,00
123444166284;4 225,00
123444166078;4 550,00
123444166334;4 875,00
123444166300;4 875,00
123444166318;4 875,00
123444165872;4 875,00
123444165583;6 900,00
123444166326;6 900,00
123444166086;6 900,00
123444165799;6 900,00
123444165625;6 900,00
123444166508;6 900,00
123444165070;9 100,00
123444166367;19 500,00
