Datum;
2022-05-23;
22181;
123444220362;120,00
123444218580;225,00
123444219562;225,00
123444220503;225,00
123444220255;250,00
276032680551;257,00
123444220164;280,00
123444219950;280,00
123444220354;280,00
123444219638;280,00
123444220008;290,00
123444220263;345,00
123444220032;345,00
123444215354;400,00
123444220057;400,00
123444219240;400,00
123444219836;400,00
123444219315;430,00
123444220370;440,00
123444215503;450,00
123444213888;450,00
123444213938;450,00
123444220438;450,00
123444215560;450,00
123444220248;460,00
123444215495;470,00
123444219505;480,00
123444219497;480,00
123444220123;490,00
123444220396;520,00
123444218333;530,00
123444219596;530,00
123444215123;570,00
123444214480;570,00
123444212203;600,00
123444220016;640,00
123444213375;650,00
123444214035;660,00
123444217699;740,00
123444219794;910,00
123444219976;1 160,00
123444218515;1 190,00
123444214910;1 195,00
123444214183;1 440,00
123444217103;1 460,00
123444220271;1 470,00
123444216709;1 725,00
123444215966;2 000,00
123444220040;2 425,00
123444216980;2 425,00
123444216386;2 425,00
123444216485;5 875,00
