Datum;
2022-05-25;
22185;
123444220990;120,00
123444221121;120,00
123444221238;120,00
123444219125;210,00
123444218721;225,00
123444218317;225,00
123444219380;225,00
123444221113;280,00
123444217657;300,00
123444221246;320,00
123444213532;320,00
275071094781;355,00
123444213524;380,00
123444218655;430,00
123444221279;450,00
123444218887;470,00
123444217863;480,00
273031627931;500,00
123444220586;575,00
123444216352;575,00
123444218010;620,00
123444219299;865,00
123444216253;1 000,00
275031865130;1 300,00
123444216329;1 325,00
123444220115;1 440,00
286041041117;1 700,00
123444216246;1 725,00
123444216436;1 725,00
123444215800;1 725,00
123444215867;1 725,00
123444218192;1 725,00
123444217616;1 725,00
268100954075;1 799,00
123444221139;2 000,00
123444216295;2 000,00
123444216923;2 200,00
123444219414;2 200,00
123444221154;2 400,00
123444217095;2 425,00
123444219190;2 425,00
123444216444;2 425,00
123444216741;2 425,00
123444216493;2 425,00
123444217798;2 425,00
123444216725;2 425,00
123444220735;2 425,00
123444216600;2 425,00
123444216527;2 635,00
271102960397;3 000,00
123444216840;4 150,00
123444216915;4 500,00
123444216659;4 850,00
123444217061;4 850,00
123444218077;5 175,00
123444217608;5 875,00
