Datum;
2022-05-12;
22167;
123444211098;200,00
123444215545;225,00
123444215990;300,00
123444214506;345,00
123444216212;420,00
123444216030;450,00
123444210470;450,00
123444216147;470,00
123444215537;570,00
123444215941;660,00
123444213755;770,00
123444212088;780,00
123444215552;820,00
123444215537;1 190,00
123444214613;1 285,00
123444215578;1 415,00
123444216279;1 725,00
123444216667;1 725,00
123444216360;1 725,00
123444216717;1 725,00
123444216162;1 725,00
123444216428;1 725,00
123444216790;1 725,00
123444216469;2 425,00
123444216618;2 425,00
123444216451;2 425,00
123444216477;2 425,00
123444216311;2 425,00
123444215297;3 705,00
