Datum;
2021-10-06;
21341;
271021566143;17,00
274032712391;37,00
288021626917;42,00
276021154188;70,00
276051814123;96,00
123444175749;150,00
123444175772;250,00
123444171821;300,00
123444175350;350,00
123444171912;350,00
123444175764;400,00
123444175434;550,00
278021225059;596,00
123444171730;900,00
123444171920;1 000,00
123444175475;1 100,00
262040613743;1 766,00
123444175640;2 100,00
202051911818;2 311,00
123444171607;2 330,00
123444175541;2 520,00
123444172613;2 520,00
123444175707;3 200,00
123444175632;3 200,00
123444175566;3 200,00
123444175657;3 200,00
123444175509;3 200,00
123444175681;3 200,00
123444175756;3 200,00
123444175731;4 225,00
123444171755;6 050,00
289012023809;7 178,00
202051911818;7 312,00
123444174205;14 000,00
