Datum;
2021-10-19;
21359;
123444179097;110,00
123444179493;110,00
123444179485;220,00
123444179899;220,00
123444179311;220,00
123444179915;250,00
123444179501;250,00
123444178875;320,00
123444177612;350,00
123444176200;350,00
123444176812;350,00
123444179840;380,00
123444179089;380,00
123444179717;380,00
123444179857;380,00
123444177083;400,00
123444179964;480,00
123444179998;1 100,00
123444175905;3 200,00
123444175525;3 200,00
123444176028;3 200,00
123444176010;3 200,00
123444175608;3 200,00
123444179931;3 200,00
123444175582;3 200,00
123444175665;3 200,00
123444179956;3 200,00
