Datum;
2021-11-03;
21381;
123444179618;260,00
123444180962;260,00
123444184345;350,00
123444184303;350,00
123444184352;400,00
123444180541;400,00
123444184287;450,00
123444182315;500,00
123444180442;600,00
123444180459;600,00
123444183677;650,00
123444183081;650,00
123444183719;700,00
123444183107;750,00
123444182489;750,00
123444182943;800,00
123444183271;900,00
123444184246;950,00
123444184311;950,00
123444183941;1 050,00
123444183958;1 050,00
123444184238;1 300,00
123444182018;2 070,00
123444181895;2 230,00
123444180533;4 260,00
