Datum;
2022-05-16;
22171;
279091371732;43,00
123444217558;220,00
272051158561;221,00
123444214324;225,00
123444217210;230,00
123444212872;230,00
123444217251;290,00
123444217525;300,00
123444216238;330,00
123444212807;380,00
123444213953;420,00
123444217707;420,00
123444217079;440,00
123444217301;460,00
123444217160;510,00
123444216410;520,00
123444217194;530,00
123444217418;530,00
123444217343;580,00
123444217350;600,00
123444212617;600,00
123444212690;620,00
123444212898;680,00
123444215057;695,00
123444217202;700,00
123444213250;700,00
123444215982;795,00
123444216931;820,00
123444212146;824,00
123444209357;975,00
274122691521;1 000,00
123444215693;1 195,00
123444217426;1 725,00
123444217111;1 725,00
123444217137;1 725,00
123444217152;1 885,00
123444214498;2 000,00
123444215651;2 200,00
123444217483;2 425,00
123444217319;2 425,00
123444216733;2 425,00
123444216543;2 425,00
272111632191;4 140,00
123444217004;4 850,00
277032792040;7 167,00
