Datum;
2022-06-20;
22216;
123444224562;220,00
267021864009;253,00
123444223309;270,00
123444223333;270,00
123444225627;315,00
200031580174;385,00
123444223895;400,00
123444223556;600,00
274031762082;638,00
123444225783;920,00
123444224042;920,00
123444222921;920,00
123444223093;920,00
123444225700;920,00
123444223507;920,00
123444225676;1 000,00
123444225874;1 000,00
123444223408;1 840,00
123444225825;2 000,00
123444221337;2 200,00
123444224422;2 400,00
123444223960;2 400,00
123444220578;2 425,00
271031094573;2 656,00
270061666813;11 000,00
