Datum;
2021-11-26;
21415;
123444189633;250,00
268091336720;303,00
123444186175;350,00
123444187082;350,00
123444187785;350,00
123444187769;400,00
123444188866;450,00
123444191639;462,00
123444191720;462,00
123444191647;462,00
123444189567;500,00
123444190607;500,00
123444190144;500,00
123444189294;500,00
123444187710;550,00
298112463856;587,00
123444188783;600,00
123444185532;600,00
123444188148;600,00
123444188064;600,00
273030540408;746,00
271103032790;760,00
123444188015;800,00
271102960397;839,00
123444191688;881,00
123444190557;900,00
123444190276;908,00
123444187819;950,00
123444188726;950,00
123444188536;950,00
123444188155;975,00
268100954075;985,00
123444189195;1 000,00
123444189229;1 000,00
273020858653;1 000,00
123444189625;1 000,00
123444191795;1 000,00
274083030578;1 000,00
288092998757;1 012,00
123444186407;1 175,00
123444191654;1 200,00
266100396354;1 276,00
123444190565;1 400,00
123444188056;1 500,00
279052392941;1 519,00
280081689588;1 527,00
123444188767;1 600,00
278051857318;1 700,00
123444191787;1 750,00
123444191589;1 800,00
286102211088;2 026,00
123444185524;2 100,00
123444187553;2 200,00
123444191498;2 230,00
123444191597;2 300,00
123444188106;2 400,00
123444188684;2 400,00
123444188676;2 550,00
123444191753;2 570,00
123444188833;2 800,00
123444191696;3 200,00
123444191506;3 200,00
123444191266;3 300,00
267030756683;3 347,00
123444188445;4 000,00
123444188775;4 000,00
123444188205;4 400,00
123444187587;4 600,00
123444188254;4 700,00
123444188841;4 700,00
123444188668;6 200,00
123444188551;7 000,00
123444188569;8 000,00
123444188544;8 000,00
123444190201;8 900,00
123444188338;10 600,00
