Datum;
2021-09-30;
21333;
123444174262;250,00
123444174197;250,00
123444173876;350,00
123444174304;350,00
123444174031;360,00
123444170682;360,00
123444174270;500,00
123444174296;500,00
123444173363;600,00
123444170914;600,00
123444174320;600,00
123444174411;650,00
123444174106;950,00
123444167118;1 274,00
123444174346;1 300,00
123444168900;1 500,00
123444170542;1 620,00
123444174387;1 800,00
123444170070;2 020,00
123444174288;2 100,00
123444170724;2 200,00
123444171086;2 200,00
123444171359;2 200,00
123444172662;2 270,00
123444174064;2 400,00
123444169726;3 000,00
123444174023;3 300,00
123444171516;3 360,00
123444174353;3 845,00
123444172720;4 540,00
123444171326;4 620,00
123444170781;4 620,00
123444169056;8 100,00
