Datum;
2021-11-18;
21403;
123444189963;150,00
123444189930;220,00
123444186944;250,00
123444186134;350,00
123444188098;350,00
123444189112;500,00
123444185649;500,00
123444189187;500,00
123444186662;600,00
290060926869;900,00
123444188825;950,00
123444184865;1 000,00
123444189815;1 000,00
123444184709;1 000,00
123444184667;1 400,00
123444189955;1 400,00
287101674516;1 546,00
123444188718;1 595,00
123444189922;2 000,00
123444185375;2 600,00
123444189997;3 000,00
123444189914;3 200,00
123444188080;5 600,00
