Datum;
2022-01-05;
20226;
265041817791;5,00
272021935379;15,00
262122627199;31,00
273091496946;75,00
276072618529;400,00
123444198121;500,00
293083132648;573,00
266110459390;624,00
123444196695;998,00
270010450061;1 000,00
291062045377;1 329,00
123444197032;1 460,00
273110668533;1 530,00
123444197594;2 000,00
273050770323;2 083,00
123444197099;5 800,00
123444194476;6 603,00
123444198055;7 150,00
123444197024;7 475,00
123444197883;7 800,00
270011938205;7 876,00
123444197040;8 800,00
