Datum;
2021-10-12;
21349;
262120489352;20,00
272010410814;99,00
123444176671;300,00
123444176549;350,00
123444176572;350,00
123444176663;350,00
123444176606;350,00
123444177307;350,00
123444174114;400,00
123444177513;400,00
123444176820;400,00
123444177257;400,00
123444177422;400,00
123444175194;550,00
123444173843;600,00
123444176523;650,00
123444176630;750,00
123444177737;800,00
272080399970;1 790,00
123444175855;1 900,00
123444177497;2 230,00
123444177463;3 000,00
123444177315;3 200,00
123444175673;3 200,00
123444177471;3 200,00
123444177067;3 200,00
267083037262;4 590,00
279052567765;5 769,00
123444177729;5 800,00
123444174403;6 700,00
123444175160;10 900,00
123444173025;14 390,00
123444176408;24 100,00
