Datum;
2021-11-30;
21419;
282120452408;10,00
123444190730;200,00
123444192140;300,00
123444189658;350,00
123444187603;400,00
123444185680;400,00
123444192165;462,00
123444192132;462,00
123444192116;500,00
123444188916;500,00
268022950821;500,00
123444189724;500,00
123444191308;500,00
123444191613;500,00
123444185706;500,00
123444181630;508,00
123444181648;584,00
123444191159;600,00
123444190367;600,00
123444186357;600,00
123444187884;600,00
123444190680;600,00
123444187702;800,00
123444190219;881,00
123444188510;950,00
123444184931;1 000,00
123444189823;1 000,00
123444190003;1 000,00
123444189880;1 000,00
123444189773;1 000,00
123444189039;1 000,00
262070619602;1 018,00
123444192025;1 050,00
123444188395;1 150,00
123444189427;1 175,00
123444190227;1 300,00
123444188619;1 300,00
123444190292;1 400,00
123444190474;1 400,00
123444190045;1 400,00
123444189591;1 400,00
123444189666;1 400,00
123444190060;1 400,00
267121399252;1 500,00
123444189583;1 500,00
123444191258;1 500,00
123444189906;2 000,00
123444189799;2 000,00
123444189765;2 000,00
123444189757;2 000,00
123444186837;2 100,00
123444190656;2 200,00
123444192157;2 400,00
123444186845;2 950,00
123444186688;3 000,00
123444186829;3 550,00
123444190805;6 500,00
277083130694;7 020,00
