Datum;
2021-10-29;
21375;
123444179188;110,00
123444179154;220,00
123444181028;220,00
123444179170;250,00
123444180889;250,00
123444181838;300,00
123444181770;300,00
123444181929;300,00
123444181937;300,00
123444180178;300,00
123444180392;300,00
123444180012;400,00
123444179105;470,00
123444181556;470,00
123444179816;500,00
123444181911;630,00
269112190211;1 000,00
123444181903;1 300,00
123444179527;1 800,00
123444179691;2 030,00
123444179683;2 030,00
123444181077;2 230,00
123444179253;2 230,00
123444178644;2 230,00
123444180186;2 230,00
123444179766;2 230,00
123444179675;2 230,00
123444179667;2 230,00
123444180400;2 230,00
123444178586;3 000,00
123444178636;3 000,00
123444178594;3 000,00
123444177133;3 000,00
291050166649;3 000,00
123444178552;3 000,00
123444179410;3 200,00
123444180582;3 200,00
123444181887;3 300,00
123444181846;3 900,00
123444178933;4 260,00
123444178743;4 260,00
123444178958;5 200,00
123444178131;6 500,00
