Datum;
2021-11-16;
21399;
123444187942;250,00
123444183412;250,00
123444184097;350,00
123444185250;400,00
123444189070;500,00
123444189401;500,00
123444184329;600,00
123444184295;650,00
123444188882;725,00
123444183651;900,00
123444185623;950,00
123444189393;1 000,00
123444185771;1 150,00
123444183792;1 350,00
123444189336;1 400,00
123444189450;1 400,00
271031094573;2 177,00
123444189278;2 230,00
123444188163;2 400,00
123444189260;3 200,00
123444187629;3 400,00
123444184972;3 550,00
123444189203;3 900,00
123444188411;5 200,00
276041055621;11 201,00
123444188791;14 000,00
