Datum;
2021-10-25;
21367;
123444181176;110,00
123444180913;220,00
123444180285;250,00
123444180897;250,00
123444173447;250,00
123444180921;250,00
123444180764;300,00
123444180780;300,00
123444180988;300,00
123444176770;300,00
123444181267;300,00
123444179907;320,00
123444176705;400,00
123444177604;400,00
123444179626;400,00
272012640681;500,00
123444177380;600,00
281120824020;625,00
123444181127;630,00
123444173439;950,00
271030220773;1 000,00
123444177182;1 500,00
123444180319;1 500,00
123444165252;1 500,00
123444180756;1 540,00
123444180772;1 800,00
123444178701;1 800,00
123444180970;1 800,00
286102211088;2 005,00
123444180822;2 230,00
123444177281;2 230,00
123444177927;2 230,00
123444178602;2 230,00
123444181200;2 230,00
123444177869;2 230,00
123444177414;2 230,00
123444176887;2 750,00
123444181101;3 000,00
123444177356;3 000,00
123444179832;3 000,00
123444181010;3 200,00
123444176853;3 200,00
123444177661;3 200,00
123444177562;3 200,00
123444178693;3 200,00
123444176424;3 200,00
123444177042;3 200,00
123444175996;3 200,00
123444173496;3 300,00
123444177695;3 800,00
123444173413;3 800,00
123444175301;4 200,00
123444180814;4 260,00
123444181218;4 260,00
123444177687;4 900,00
123444174056;5 900,00
123444174098;5 900,00
295071446526;6 651,00
123444177703;7 400,00
123444178784;7 600,00
123444177489;8 400,00
123444173033;8 560,00
123444177554;11 400,00
123444177745;12 000,00
123444179063;15 800,00
123444177448;15 800,00
123444177430;16 700,00
123444177976;17 300,00
