Datum;
2021-10-22;
21365;
123444180640;110,00
123444176242;150,00
281120297680;203,00
123444179048;220,00
123444176218;250,00
123444176226;250,00
123444179774;250,00
123444177539;350,00
123444180525;380,00
123444176515;400,00
123444177000;400,00
123444176465;400,00
123444175285;400,00
123444179923;470,00
123444176234;550,00
123444177984;600,00
123444180566;600,00
123444176994;2 230,00
123444176341;2 230,00
123444180632;2 230,00
123444178081;2 230,00
123444178073;2 230,00
123444176788;2 230,00
123444176580;2 230,00
123444176390;2 230,00
123444177117;3 000,00
123444180558;3 000,00
123444177018;3 000,00
278031588173;3 172,00
123444176333;3 200,00
123444177364;3 200,00
123444177075;3 200,00
123444177331;3 300,00
123444180707;14 000,00
123444176275;14 600,00
123444177240;15 800,00
