Datum;
2021-06-01;
180;
269021335196;67,00
123444159255;180,00
123444157796;250,00
123444157960;500,00
123444159321;560,00
279123013831;600,00
123444157374;760,00
123444159719;1 625,00
123444158422;1 625,00
123444157390;1 625,00
123444158166;1 625,00
123444157317;1 625,00
123444157689;1 625,00
123444157697;1 625,00
123444157051;1 625,00
280103099717;2 082,00
123444157788;2 300,00
123444159776;2 300,00
123444156962;2 300,00
123444157283;2 300,00
123444158364;2 300,00
123444159636;2 300,00
123444159669;2 300,00
123444157002;2 300,00
123444159768;2 600,00
123444159628;2 600,00
123444157119;4 875,00
123444157127;4 875,00
123444159388;7 400,00
