Datum;
2021-05-25;
170;
274120775805;202,00
123444156897;230,00
123444157994;250,00
123444156038;470,00
123444157101;500,00
271030220773;632,00
123444158406;800,00
123444158018;990,00
123444156053;1 020,00
123444158158;1 175,00
268073199245;1 613,00
123444158224;1 625,00
123444158307;1 625,00
270102775797;1 861,00
123444157754;2 300,00
123444158349;2 300,00
123444158331;2 300,00
123444157218;2 300,00
123444157986;2 300,00
123444158505;2 300,00
123444156582;3 040,00
123444157341;3 925,00
