Datum;
2021-10-18;
21357;
269062646907;10,00
123444178842;110,00
123444179071;150,00
123444179477;198,00
123444178859;220,00
123444178941;220,00
123444179576;250,00
123444179782;288,00
123444176564;300,00
123444176945;350,00
123444179238;380,00
123444179162;380,00
123444178768;400,00
123444179865;410,00
123444178982;470,00
123444179592;500,00
123444179220;500,00
123444179451;630,00
123444179345;630,00
123444179139;650,00
123444178479;680,00
123444175277;700,00
123444175178;700,00
123444179725;1 000,00
123444179113;1 000,00
123444179469;1 800,00
123444175897;2 000,00
123444178149;2 230,00
123444179030;2 500,00
123444179246;3 200,00
123444175574;3 200,00
123444179402;3 200,00
123444178610;3 200,00
123444175715;4 000,00
123444179394;4 860,00
123444173777;6 050,00
123444179196;6 550,00
123444178123;15 800,00
123444179121;15 800,00
123444177711;16 700,00
123444179279;19 800,00
123444179303;24 200,00
