Datum;
2022-05-24;
22183;
123444221030;120,00
123444216584;225,00
123444219885;250,00
123444217947;470,00
123444215131;525,00
123444220776;570,00
123444216576;595,00
123444220651;600,00
123444212757;660,00
123444220743;700,00
123444220479;900,00
123444215347;975,00
123444216055;1 295,00
123444214993;1 420,00
123444219141;1 725,00
123444215800;1 725,00
123444221006;1 725,00
123444214985;1 865,00
123444216642;2 425,00
123444215958;2 425,00
123444216949;3 450,00
280121662157;9 299,00
123444214647;9 300,00
