Datum;
2022-05-03;
22153;
123444209035;130,00
123444212633;160,00
123444212682;200,00
123444212823;200,00
123444212740;230,00
123444212674;230,00
123444212518;250,00
123444213128;250,00
123444212658;280,00
123444211379;300,00
123444212328;320,00
123444212476;320,00
123444212310;320,00
123444212443;320,00
123444212856;330,00
123444212344;330,00
123444213011;330,00
123444212989;330,00
266033119568;339,00
123444212393;380,00
123444212864;380,00
123444212708;380,00
123444212526;380,00
123444213045;380,00
123444211999;400,00
123444212500;420,00
123444212021;450,00
123444211197;450,00
123444211437;520,00
123444212773;620,00
123444212930;660,00
123444212880;680,00
123444212716;710,00
123444212351;760,00
268102635128;829,00
274020247897;1 500,00
123444209878;2 000,00
275031865130;2 035,00
271101242896;2 500,00
