Datum;
2022-02-04;
2241;
264012090348;5,00
282050581663;13,00
277031471760;16,00
261080670761;48,00
277090846357;51,00
276092479464;55,00
274110543486;267,00
275102854617;411,00
276080492867;483,00
281060325491;521,00
272010189020;743,00
278062063492;800,00
123444200125;900,00
270010450061;1 000,00
278012157642;1 005,00
276021539453;1 180,00
277111719252;1 278,00
281071741512;1 382,00
280080185588;1 382,00
123444199483;1 740,00
270030641137;1 859,00
275033123413;1 901,00
284073091522;1 962,00
273031627931;2 000,00
257082896362;2 359,00
276011098536;2 386,00
281010774244;2 549,00
288021576005;2 792,00
277022351336;2 796,00
277020226944;3 000,00
123444199442;5 280,00
123444199459;5 280,00
123444197479;5 800,00
123444198212;7 150,00
123444197586;7 800,00
123444195291;16 620,00
