Datum;
2021-08-30;
21292;
270042057579;8,00
123444168157;180,00
266051347117;300,00
269070927620;300,00
123444168553;360,00
274081068026;430,00
123444167472;460,00
123444168033;750,00
123444168025;800,00
123444165500;869,00
123444167282;1 000,00
123444164354;1 000,00
267083037262;1 000,00
269112190211;1 066,00
267072863041;1 200,00
275112075484;1 596,00
123444166854;1 620,00
123444166615;1 740,00
269072587083;2 135,00
123444164784;2 600,00
123444165419;4 000,00
123444165518;4 000,00
123444166052;4 000,00
123444168579;4 225,00
123444166524;4 875,00
123444168546;4 875,00
123444166706;4 875,00
123444168199;4 875,00
123444166813;4 875,00
123444166995;6 900,00
123444167324;6 900,00
123444166649;6 900,00
123444166540;6 900,00
123444166680;6 900,00
123444166557;6 900,00
123444166698;8 600,00
123444167670;8 640,00
123444166417;9 955,00
