Datum;
2021-02-26;
67;
264080647466;9,00
279072459357;20,00
123444149462;150,00
273052418319;203,00
287120438695;300,00
123444149090;540,00
123444149355;540,00
274090849531;643,00
123444144547;800,00
123444147060;881,00
276072356815;1 000,00
123444149421;1 000,00
273061789775;1 000,00
269022036868;1 000,00
269042731456;1 300,00
270022781701;1 449,00
269080467559;1 500,00
123444147136;1 500,00
123444149900;1 640,00
123444149918;1 640,00
123444149637;1 640,00
123444147367;2 000,00
272031045888;2 000,00
274071719992;2 000,00
264061960805;2 090,00
281022119958;2 500,00
291122681310;2 500,00
123444150007;3 000,00
271102960397;4 600,00
123444149678;7 040,00
123444149785;8 300,00
123444149827;8 500,00
