Datum;
2020-10-16;
291;
123444137517;540,00
123444135636;1 000,00
123444137608;1 080,00
123444135750;1 425,00
123444135016;2 020,00
123444135297;2 020,00
123444137640;2 020,00
123444135933;2 125,00
123444135487;2 125,00
123444137632;2 200,00
123444134936;2 425,00
123444135537;2 425,00
123444135768;2 450,00
123444135529;2 850,00
123444135602;2 850,00
123444135024;3 050,00
123444134837;3 135,00
123444134886;3 450,00
123444135164;3 950,00
123444134829;4 060,00
123444135008;4 250,00
123444135891;5 760,00
123444135644;5 980,00
123444137392;8 760,00
123444135610;9 540,00
123444135396;15 180,00
123444135438;22 080,00
