Datum;
2021-09-20;
21317;
266061393176;11,00
123444169429;560,00
123444169411;580,00
123444170161;600,00
123444170583;600,00
123444170963;600,00
123444170799;600,00
123444170922;800,00
123444169791;800,00
123444170898;1 200,00
123444170195;1 200,00
123444171094;1 200,00
266081676659;1 400,00
123444169809;1 600,00
123444169122;1 820,00
123444169577;2 500,00
123444169312;2 700,00
123444171078;2 750,00
123444171193;3 300,00
123444169775;3 400,00
123444169346;3 500,00
123444171029;4 350,00
123444170906;4 620,00
123444171284;4 620,00
123444171011;4 900,00
123444171003;4 900,00
123444168728;6 000,00
123444168728;6 000,00
123444171169;6 050,00
123444169817;6 200,00
123444170690;6 500,00
123444170997;8 200,00
123444171185;8 200,00
