Datum;
2021-05-31;
178;
266021251464;132,00
123444157671;230,00
123444158315;230,00
123444159222;249,00
123444159131;330,00
123444156814;450,00
123444159214;460,00
123444157663;480,00
123444157275;500,00
123444157234;510,00
123444157226;620,00
123444159149;660,00
268022950821;842,00
123444158950;890,00
123444155048;1 000,00
123444159339;1 120,00
123444159016;1 175,00
123444157135;1 175,00
123444156400;1 380,00
276020811523;1 500,00
123444159115;1 625,00
123444159081;1 625,00
123444159594;1 625,00
123444159297;1 625,00
123444159057;1 625,00
123444159248;1 625,00
123444157887;1 625,00
123444157549;1 625,00
123444159495;1 625,00
123444157531;1 625,00
123444158232;1 625,00
123444159099;1 625,00
123444159008;1 625,00
274080566707;1 650,00
271101242896;1 885,00
123444159503;2 000,00
123444155501;2 000,00
123444159545;2 000,00
123444158737;2 000,00
269070927620;2 000,00
123444159560;2 300,00
123444157580;2 300,00
123444158042;2 300,00
123444158356;2 300,00
123444158984;2 300,00
123444159032;2 300,00
123444159578;2 300,00
123444156855;2 570,00
123444156848;3 050,00
123444156863;3 050,00
123444155592;3 050,00
123444157176;3 250,00
284020112538;3 309,00
123444158844;3 475,00
123444159156;5 200,00
266062029142;7 029,00
123444158026;7 175,00
123444158448;7 300,00
