Datum;
2021-03-29;
107;
276012729733;2,00
123444153571;200,00
123444154298;200,00
123444154249;200,00
123444153811;380,00
123444153431;400,00
123444154199;400,00
281041632429;500,00
123444153241;630,00
123444149421;640,00
267011596801;640,00
271030220773;678,00
123444144547;800,00
279123013831;1 000,00
267083037262;1 000,00
275121178790;1 003,00
276011098536;1 032,00
123444153530;1 260,00
269042731456;1 300,00
123444154231;1 350,00
270022781701;1 375,00
275112075484;1 404,00
269080467559;1 700,00
123444154215;1 750,00
123444154256;1 830,00
123444153068;2 000,00
123444153308;2 000,00
123444151773;2 000,00
123444152714;2 070,00
123444153233;2 070,00
291122681310;2 107,00
123444154074;2 180,00
123444152177;2 400,00
123444153134;2 570,00
123444150767;2 570,00
123444146153;2 751,66
123444154272;3 050,00
123444152839;3 050,00
123444150940;3 050,00
123444153225;3 050,00
123444151922;3 990,00
123444154132;6 100,00
123444153803;7 400,00
123444153209;7 700,00
