Datum;
2021-11-22;
21407;
123444186266;150,00
123444186969;250,00
123444186514;350,00
123444186332;350,00
123444185177;400,00
123444186993;450,00
123444190664;450,00
123444189310;500,00
123444186464;500,00
123444189179;500,00
123444188957;500,00
123444190235;500,00
123444189146;500,00
123444186720;515,00
201071518074;557,00
123444185201;600,00
123444184857;600,00
123444190268;900,00
123444190193;1 000,00
123444190425;1 000,00
123444190581;1 000,00
123444190037;1 000,00
123444188130;1 400,00
123444190615;1 400,00
123444188213;1 400,00
123444190599;1 400,00
123444190110;1 400,00
123444185847;1 400,00
123444190334;1 500,00
123444186522;1 900,00
123444187991;1 900,00
123444190243;2 000,00
123444186506;2 225,00
123444181465;2 230,00
123444184881;2 230,00
123444185086;2 250,00
123444187967;2 400,00
123444190466;2 400,00
123444185995;2 500,00
123444190151;3 200,00
123444185714;3 450,00
123444185078;3 600,00
263072874211;5 391,00
