Datum;
2022-04-27;
22145;
123444210546;200,00
123444209837;200,00
123444210165;200,00
123444211619;200,00
123444211544;200,00
123444210082;280,00
123444208615;330,00
123444208912;380,00
123444211486;400,00
123444211593;400,00
123444211163;400,00
123444211510;450,00
123444211023;450,00
123444210132;450,00
123444211460;480,00
123444211635;480,00
123444211536;500,00
123444209365;500,00
123444209720;700,00
267071632967;795,00
123444209761;880,00
123444211643;950,00
278051857318;1 589,00
286041041117;1 700,00
123444208151;2 000,00
123444209183;2 000,00
275112075484;2 420,00
277042841274;3 191,00
277020226944;4 805,00
268022950821;6 500,00
