Datum;
2022-06-01;
22193;
123444215172;120,00
123444222129;200,00
123444222194;280,00
123444222152;350,00
123444214365;380,00
123444219026;430,00
123444218796;470,00
123444222194;640,00
123444214076;680,00
277031966199;850,00
280081689588;1 146,00
270042260306;1 407,00
123444218770;1 420,00
123444220826;2 400,00
123444220792;2 400,00
123444221360;2 425,00
123444219059;2 425,00
123444217848;2 425,00
123444218952;2 428,00
123444222202;2 700,00
123444218945;3 000,00
123444218069;3 450,00
