Datum;
2022-06-08;
22201;
123444223473;225,00
123444223671;270,00
266072687954;280,00
123444222590;300,00
280040783787;323,00
277090562269;385,00
294042975440;400,00
279040340630;456,00
278051773978;656,00
272052194235;743,00
283081011050;900,00
123444222731;920,00
123444222954;920,00
123444223457;920,00
123444223218;920,00
123444219984;920,00
123444223846;920,00
123444224018;920,00
123444223911;975,00
123444217806;1 000,00
123444222327;1 725,00
123444223440;1 725,00
123444221444;1 725,00
123444220958;1 725,00
273103191485;1 845,00
123444221618;2 400,00
123444221451;2 400,00
123444220933;2 400,00
123444219216;2 425,00
123444221584;3 000,00
270091481373;3 073,00
