Datum;
2020-11-16;
330;
277022351336;14,00
123444140883;250,00
123444140875;250,00
123444140867;250,00
123444139877;540,00
123444138879;540,00
123444139349;540,00
123444138887;540,00
123444140453;690,00
123444140990;800,00
123444139463;1 040,00
123444140974;2 000,00
123444139695;2 250,00
123444132666;2 387,00
278121224721;2 900,00
123444138531;3 050,00
123444139786;3 240,00
123444137764;3 574,00
273061559947;4 367,00
294052657987;4 878,00
123444139935;7 195,00
279102761038;7 420,00
