Datum;
2020-12-07;
355;
280010249082;5,00
273060486746;6,00
270011938205;8,00
278121224721;30,00
284020112538;100,00
123444141774;500,00
273100754772;728,00
123444142426;800,00
123444141923;1 100,00
123444142343;1 100,00
123444141824;1 100,00
123444142152;1 100,00
280061135636;2 026,00
123444142178;2 200,00
123444142087;2 200,00
123444142350;2 370,00
280022534240;3 140,00
259010713057;3 989,00
272011165334;5 424,00
123444141808;5 953,00
123444141709;7 465,00
123444141733;11 157,00
269011588077;12 371,00
