Datum;
2021-11-25;
21413;
293032056542;5,00
123444186043;150,00
123444187009;250,00
123444184147;250,00
123444187157;250,00
123444183149;250,00
123444187470;250,00
123444187140;400,00
123444184154;400,00
123444187413;450,00
123444186894;450,00
123444187165;500,00
123444189054;500,00
123444189864;500,00
123444189005;500,00
123444188981;500,00
123444189351;500,00
123444187637;600,00
123444188197;675,00
123444184121;800,00
123444190920;900,00
123444187926;950,00
123444187538;950,00
123444188924;1 000,00
123444188593;1 000,00
123444187462;1 050,00
123444188247;1 300,00
286041041117;1 566,00
123444188452;1 900,00
270010450061;2 000,00
123444187363;2 050,00
123444187371;2 100,00
123444188189;2 281,00
123444187678;2 700,00
123444187561;2 700,00
123444191092;3 200,00
123444187595;3 550,00
123444186126;3 550,00
123444187397;3 800,00
279042848861;6 257,00
123444188296;8 900,00
123444191423;10 000,00
