Datum;
2020-09-09;
242;
267051598469;92,00
265062383541;252,00
123444130264;500,00
123444130686;600,00
123444130967;640,00
123444130744;700,00
123444127914;900,00
272011599813;1 023,00
123444128912;3 060,00
123444129373;3 060,00
123444129084;3 135,00
123444128920;3 910,00
123444130694;4 000,00
123444130447;4 000,00
123444128185;4 480,00
123444127930;4 480,00
123444130793;4 480,00
123444130926;4 480,00
123444128094;4 480,00
123444130090;4 480,00
123444130736;4 800,00
123444130868;4 800,00
123444130827;4 800,00
123444130843;6 750,00
123444128060;6 750,00
123444128045;6 750,00
123444129605;6 775,00
123444130819;6 775,00
123444127922;6 775,00
123444130041;6 775,00
