Datum;
2021-11-19;
21405;
278121224721;100,00
123444186191;250,00
123444185268;400,00
123444185185;450,00
123444185060;500,00
123444189872;500,00
123444188734;600,00
123444187835;700,00
123444185516;800,00
123444185284;950,00
123444185276;1 000,00
123444185193;1 200,00
123444189385;1 400,00
272100641591;1 745,00
123444185417;1 900,00
123444185235;2 230,00
123444186753;2 600,00
123444187199;2 650,00
123444185342;2 750,00
123444175624;2 950,00
123444185367;3 050,00
123444184873;3 200,00
